program_id,program_name,department_code,department_name,section,fund_type,fiscal_year,amount,positions,ceiling,allocation_type,category,subcategory,notes,fund_category,amount_millions,is_capital
GENERAL SUPPORT FOR CHILD CARE,GENERAL SUPPORT FOR CHILD CARE,HMS,HMS,Operating,A,2026,14137770.0,,,,Human Services,,,General Fund,14.13777,False
GENERAL SUPPORT FOR HEALTH CARE PAYMENTS,GENERAL SUPPORT FOR HEALTH CARE PAYMENTS,HMS,HMS,Operating,B,2026,1200000.0,,,,Human Services,,,Special Funds,1.2,False
GENERAL SUPPORT FOR HEALTH CARE PAYMENTS,GENERAL SUPPORT FOR HEALTH CARE PAYMENTS,HMS,HMS,Operating,A,2026,96345000.0,,,,Human Services,,,General Fund,96.345,False
GENERAL SUPPORT FOR HEALTH CARE PAYMENTS,GENERAL SUPPORT FOR HEALTH CARE PAYMENTS,HMS,HMS,Operating,B,2026,30104367.0,,,,Human Services,,,Special Funds,30.104367,False
GENERAL SUPPORT FOR SELF-SUFFICIENCY SERVICES,GENERAL SUPPORT FOR SELF-SUFFICIENCY SERVICES,HMS,HMS,Operating,A,2026,95422009.0,,,,Human Services,,,General Fund,95.422009,False
GENERAL SUPPORT FOR SELF-SUFFICIENCY SERVICES,GENERAL SUPPORT FOR SELF-SUFFICIENCY SERVICES,HMS,HMS,Operating,B,2026,19560000.0,,,,Human Services,,,Special Funds,19.56,False
GENERAL SUPPORT FOR SOCIAL SERVICES,GENERAL SUPPORT FOR SOCIAL SERVICES,HMS,HMS,Operating,A,2026,3246986.0,,,,Human Services,,,General Fund,3.246986,False
HARBORS ADMINISTRATION,HARBORS ADMINISTRATION,TRN,TRN,Operating,A,2026,25000000.0,,,,Transportation,,,General Fund,25.0,False
HARBORS ADMINISTRATION,HARBORS ADMINISTRATION,TRN,TRN,Capital Improvement,B,2026,17492000.0,,,,Transportation,,,Special Funds,17.492,True
HARBORS ADMINISTRATION,HARBORS ADMINISTRATION,TRN,TRN,Capital Improvement,A,2026,4000.0,,,,Transportation,,,General Fund,0.004,True
HARBORS ADMINISTRATION,HARBORS ADMINISTRATION,TRN,TRN,Capital Improvement,R,2026,4000.0,,,,Transportation,,,Other Funds,0.004,True
HAWAII ARMY AND AIR NATIONAL GUARD,HAWAII ARMY AND AIR NATIONAL GUARD,DEF,DEF,Capital Improvement,B,2026,1173000.0,,,,Public Safety,,,Special Funds,1.173,True
HAWAII ARMY AND AIR NATIONAL GUARD,HAWAII ARMY AND AIR NATIONAL GUARD,DEF,DEF,Operating,B,2026,40051745.0,,,,Public Safety,,,Special Funds,40.051745,False
HAWAII CIVIL RIGHTS COMMISSION,HAWAII CIVIL RIGHTS COMMISSION,LBR,LBR,Operating,B,2026,350000.0,,,,Employment,,,Special Funds,0.35,False
HAWAII COMMUNITY DEVELOPMENT AUTHORITY,HAWAII COMMUNITY DEVELOPMENT AUTHORITY,BED,BED,Capital Improvement,B,2026,38000000.0,,,,Economic Development,,,Special Funds,38.0,True
HAWAII COMMUNITY DEVELOPMENT AUTHORITY,HAWAII COMMUNITY DEVELOPMENT AUTHORITY,BED,BED,Operating,B,2026,2554972.0,,,,Economic Development,,,Special Funds,2.554972,False
HAWAII EMERGENCY MANAGEMENT AGENCY,HAWAII EMERGENCY MANAGEMENT AGENCY,AGS,AGS,Capital Improvement,B,2026,6500000.0,,,,Public Safety,,,Special Funds,6.5,True
HAWAII EMERGENCY MANAGEMENT AGENCY,HAWAII EMERGENCY MANAGEMENT AGENCY,AGS,AGS,Capital Improvement,B,2026,1500000.0,,,,Public Safety,,,Special Funds,1.5,True
HAWAII EMERGENCY MANAGEMENT AGENCY,HAWAII EMERGENCY MANAGEMENT AGENCY,DEF,DEF,Operating,B,2026,22497034.0,,,,Public Safety,,,Special Funds,22.497034,False
HAWAII EMERGENCY MANAGEMENT AGENCY,HAWAII EMERGENCY MANAGEMENT AGENCY,DEF,DEF,Operating,W,2026,500000.0,,,,Public Safety,,,Special Funds,0.5,False
HAWAII EMERGENCY MANAGEMENT AGENCY,HAWAII EMERGENCY MANAGEMENT AGENCY,DEF,DEF,Operating,A,2026,4156958.0,,,,Public Safety,,,General Fund,4.156958,False
HAWAII EMERGENCY MANAGEMENT AGENCY,HAWAII EMERGENCY MANAGEMENT AGENCY,DEF,DEF,Operating,B,2026,500000.0,,,,Public Safety,,,Special Funds,0.5,False
HAWAII GREEN INFRASTRUCTURE AUTHORITY,HAWAII GREEN INFRASTRUCTURE AUTHORITY,BED,BED,Operating,B,2026,444261.0,,,,Economic Development,,,Special Funds,0.444261,False
HAWAII HEALTH SYSTEMS CORPORATION –  REGIONS,HAWAII HEALTH SYSTEMS CORPORATION –  REGIONS,HTH,HTH,Operating,B,2026,582286185.0,,,,Health,,,Special Funds,582.286185,False
HAWAII HEALTH SYSTEMS CORPORATION –  REGIONS,HAWAII HEALTH SYSTEMS CORPORATION –  REGIONS,HTH,HTH,Capital Improvement,B,2026,28839000.0,,,,Health,,,Special Funds,28.839,True
HAWAII HIGHWAYS,HAWAII HIGHWAYS,TRN,TRN,Capital Improvement,A,2026,4500000.0,,,,Transportation,,,General Fund,4.5,True
HAWAII HOUSING FINANCE AND DEVELOPMENT CORPORATION,HAWAII HOUSING FINANCE AND DEVELOPMENT CORPORATION,BED,BED,Capital Improvement,B,2026,100000000.0,,,,Economic Development,,,Special Funds,100.0,True
HAWAII HOUSING FINANCE AND DEVELOPMENT CORPORATION,HAWAII HOUSING FINANCE AND DEVELOPMENT CORPORATION,BED,BED,Operating,B,2026,3000000.0,,,,Economic Development,,,Special Funds,3.0,False
HAWAII HOUSING FINANCE AND DEVELOPMENT CORPORATION,HAWAII HOUSING FINANCE AND DEVELOPMENT CORPORATION,BED,BED,Operating,W,2026,16060058.0,,,,Economic Development,,,Special Funds,16.060058,False
HAWAII NATIONAL GUARD YOUTH CHALLENGE ACADEMY,HAWAII NATIONAL GUARD YOUTH CHALLENGE ACADEMY,DEF,DEF,Operating,B,2026,6482477.0,,,,Education,,,Special Funds,6.482477,False
HAWAII NATIONAL GUARD YOUTH CHALLENGE ACADEMY,HAWAII NATIONAL GUARD YOUTH CHALLENGE ACADEMY,DEF,DEF,Capital Improvement,B,2026,8000000.0,,,,Education,,,Special Funds,8.0,True
HAWAII OCCUPATIONAL SAFETY AND HEALTH PROGRAM,HAWAII OCCUPATIONAL SAFETY AND HEALTH PROGRAM,LBR,LBR,Operating,W,2026,2746105.0,,,,Employment,,,Special Funds,2.746105,False
HAWAII OCCUPATIONAL SAFETY AND HEALTH PROGRAM,HAWAII OCCUPATIONAL SAFETY AND HEALTH PROGRAM,LBR,LBR,Operating,B,2026,2400000.0,,,,Employment,,,Special Funds,2.4,False
HAWAII PUBLIC HOUSING AUTHORITY ADMINISTRATION,HAWAII PUBLIC HOUSING AUTHORITY ADMINISTRATION,HMS,HMS,Operating,W,2026,17416598.0,,,,Human Services,,,Special Funds,17.416598,False
HAWAII PUBLIC HOUSING AUTHORITY ADMINISTRATION,HAWAII PUBLIC HOUSING AUTHORITY ADMINISTRATION,HMS,HMS,Operating,A,2026,27864996.0,,,,Human Services,,,General Fund,27.864996,False
HAWAII STATE ENERGY OFFICE,HAWAII STATE ENERGY OFFICE,BED,BED,Operating,B,2026,795000.0,,,,Economic Development,,,Special Funds,0.795,False
HAWAII STATE ENERGY OFFICE,HAWAII STATE ENERGY OFFICE,BED,BED,Operating,T,2026,7146250.0,,,,Economic Development,,,Special Funds,7.14625,False
HAWAII TECHNOLOGY DEVELOPMENT CORPORATION,HAWAII TECHNOLOGY DEVELOPMENT CORPORATION,BED,BED,Operating,B,2026,994214.0,,,,Economic Development,,,Special Funds,0.994214,False
HAWAII TECHNOLOGY DEVELOPMENT CORPORATION,HAWAII TECHNOLOGY DEVELOPMENT CORPORATION,BED,BED,Operating,B,2026,1604258.0,,,,Economic Development,,,Special Funds,1.604258,False
HAWAII TECHNOLOGY DEVELOPMENT CORPORATION,HAWAII TECHNOLOGY DEVELOPMENT CORPORATION,BED,BED,Operating,W,2026,2017203.0,,,,Economic Development,,,Special Funds,2.017203,False
HAWAII TOURISM AUTHORITY,ADMINISTRATION AND GOVERNANCE,BED,BED,Operating,A,2026,3696660.0,,,,Economic Development,,,General Fund,3.69666,False
HAWAII TOURISM AUTHORITY,BRANDING AND MARKETING,BED,BED,Operating,A,2026,39249201.0,,,,Economic Development,,,General Fund,39.249201,False
HAWAII TOURISM AUTHORITY - ADMINISTRATION AND GOVERNANCE,HAWAII TOURISM AUTHORITY - ADMINISTRATION AND GOVERNANCE,BED,BED,Operating,B,2026,26977020.0,,,,Economic Development,,,Special Funds,26.97702,False
HAWAII TOURISM AUTHORITY - ADMINISTRATION AND GOVERNANCE,HAWAII TOURISM AUTHORITY - ADMINISTRATION AND GOVERNANCE,BED,BED,Capital Improvement,B,2026,36400000.0,,,,Economic Development,,,Special Funds,36.4,True
HAWAII YOUTH CORRECTIONAL FACILITY (HYCF),HAWAII YOUTH CORRECTIONAL FACILITY (HYCF),AGS,AGS,Capital Improvement,B,2026,3720000.0,,,,Human Services,,,Special Funds,3.72,True
HEALTH CARE ASSURANCE,HEALTH CARE ASSURANCE,HTH,HTH,Operating,B,2026,2355000.0,,,,Health,,,Special Funds,2.355,False
HEALTH CARE ASSURANCE,HEALTH CARE ASSURANCE,HTH,HTH,Operating,B,2026,4841562.0,,,,Health,,,Special Funds,4.841562,False
HEALTH CARE PAYMENTS,HEALTH CARE PAYMENTS,HMS,HMS,Operating,A,2026,2291497122.0,,,,Human Services,,,General Fund,2291.497122,False
HEALTH CARE PAYMENTS,HEALTH CARE PAYMENTS,HMS,HMS,Operating,B,2026,15798564.0,,,,Human Services,,,Special Funds,15.798564,False
HEALTH CARE PAYMENTS,HEALTH CARE PAYMENTS,HMS,HMS,Operating,B,2026,230000000.0,,,,Human Services,,,Special Funds,230.0,False
HEALTH CARE PAYMENTS,HEALTH CARE PAYMENTS,HMS,HMS,Operating,U,2026,6781921.0,,,,Human Services,,,Other Funds,6.781921,False
HEALTH PREMIUM PAYMENTS,UH,BUF,BUF,Operating,A,2026,68661870.0,,,,Education,,,General Fund,68.66187,False
HEALTH PREMIUM PAYMENTS,DOE,BUF,BUF,Operating,A,2026,187755868.0,,,,Education,,,General Fund,187.755868,False
HEALTH PREMIUM PAYMENTS,STATE,BUF,BUF,Operating,A,2026,158214808.0,,,,Government Operations,,,General Fund,158.214808,False
HEALTH STATUS MONITORING,HEALTH STATUS MONITORING,HTH,HTH,Operating,B,2026,627294.0,,,,Health,,,Special Funds,0.627294,False
HEALTH STATUS MONITORING,HEALTH STATUS MONITORING,HTH,HTH,Operating,B,2026,530318.0,,,,Health,,,Special Funds,0.530318,False
HHSC,OAHU REGION,HTH,HTH,Operating,A,2026,8000000.0,,,,Health,,,General Fund,8.0,False
HHSC - OAHU REGION,HHSC - OAHU REGION,HTH,HTH,Operating,B,2026,48500000.0,,,,Health,,,Special Funds,48.5,False
HHSC - OAHU REGION,HHSC - OAHU REGION,HTH,HTH,Capital Improvement,B,2026,5600000.0,,,,Health,,,Special Funds,5.6,True
HIGHWAYS ADMINISTRATION,HIGHWAYS ADMINISTRATION,TRN,TRN,Capital Improvement,B,2026,22721000.0,,,,Transportation,,,Special Funds,22.721,True
HIGHWAYS ADMINISTRATION,HIGHWAYS ADMINISTRATION,TRN,TRN,Capital Improvement,A,2026,156684000.0,,,,Transportation,,,General Fund,156.684,True
HIGHWAYS ADMINISTRATION,HIGHWAYS ADMINISTRATION,TRN,TRN,Operating,A,2026,4000000.0,,,,Transportation,,,General Fund,4.0,False
HIGHWAYS ADMINISTRATION,HIGHWAYS ADMINISTRATION,TRN,TRN,Capital Improvement,A,2026,614705000.0,,,,Transportation,,,General Fund,614.705,True
HIGHWAYS ADMINISTRATION,HIGHWAYS ADMINISTRATION,TRN,TRN,Operating,B,2026,229186637.0,,,,Transportation,,,Special Funds,229.186637,False
HIGHWAYS ADMINISTRATION,HIGHWAYS ADMINISTRATION,TRN,TRN,Operating,A,2026,15763634.0,,,,Transportation,,,General Fund,15.763634,False
HIGHWAYS SAFETY,HIGHWAYS SAFETY,TRN,TRN,Operating,A,2026,6495670.0,,,,Transportation,,,General Fund,6.49567,False
HIGHWAYS SAFETY,HIGHWAYS SAFETY,TRN,TRN,Operating,B,2026,1214379.0,,,,Transportation,,,Special Funds,1.214379,False
HILO HARBOR,HILO HARBOR,TRN,TRN,Capital Improvement,R,2026,4000.0,,,,Transportation,,,Other Funds,0.004,True
HILO HARBOR,HILO HARBOR,TRN,TRN,Capital Improvement,B,2026,4000.0,,,,Transportation,,,Special Funds,0.004,True
HILO HARBOR,HILO HARBOR,TRN,TRN,Capital Improvement,A,2026,4000.0,,,,Transportation,,,General Fund,0.004,True
HILO INTERNATIONAL AIRPORT,HILO INTERNATIONAL AIRPORT,TRN,TRN,Capital Improvement,A,2026,26000000.0,,,,Transportation,,,General Fund,26.0,True
HISTORIC PRESERVATION,HISTORIC PRESERVATION,LNR,LNR,Operating,A,2026,751525.0,,,,Culture and Recreation,,,General Fund,0.751525,False
HISTORIC PRESERVATION,HISTORIC PRESERVATION,LNR,LNR,Operating,B,2026,923397.0,,,,Culture and Recreation,,,Special Funds,0.923397,False
HOMELESS SERVICES,HOMELESS SERVICES,HMS,HMS,Operating,A,2026,814000.0,,,,Human Services,,,General Fund,0.814,False
HONOLULU HARBOR,HONOLULU HARBOR,TRN,TRN,Capital Improvement,R,2026,4000.0,,,,Transportation,,,Other Funds,0.004,True
HONOLULU HARBOR,HONOLULU HARBOR,TRN,TRN,Capital Improvement,A,2026,4000.0,,,,Transportation,,,General Fund,0.004,True
HONOLULU HARBOR,HONOLULU HARBOR,TRN,TRN,Capital Improvement,B,2026,24992000.0,,,,Transportation,,,Special Funds,24.992,True
IN-COMMUNITY YOUTH PROGRAMS,IN-COMMUNITY YOUTH PROGRAMS,HMS,HMS,Operating,A,2026,2050000.0,,,,Human Services,,,General Fund,2.05,False
INSTRUCTIONAL SUPPORT,INSTRUCTIONAL SUPPORT,EDN,EDN,Operating,A,2026,500000.0,,,,Education,,,General Fund,0.5,False
INSTRUCTIONAL SUPPORT,INSTRUCTIONAL SUPPORT,EDN,EDN,Operating,B,2026,273794.0,,,,Education,,,Special Funds,0.273794,False
INSURANCE REGULATORY SERVICES,INSURANCE REGULATORY SERVICES,CCA,CCA,Operating,T,2026,201000.0,,,,Individual Rights,,,Special Funds,0.201,False
KAHUKU HOSPITAL,KAHUKU HOSPITAL,HTH,HTH,Capital Improvement,B,2026,5800000.0,,,,Health,,,Special Funds,5.8,True
KAHULUI AIRPORT,KAHULUI AIRPORT,TRN,TRN,Capital Improvement,A,2026,52250000.0,,,,Transportation,,,General Fund,52.25,True
KAHULUI HARBOR,KAHULUI HARBOR,TRN,TRN,Capital Improvement,B,2026,4000.0,,,,Transportation,,,Special Funds,0.004,True
KAHULUI HARBOR,KAHULUI HARBOR,TRN,TRN,Capital Improvement,A,2026,4000.0,,,,Transportation,,,General Fund,0.004,True
KAHULUI HARBOR,KAHULUI HARBOR,TRN,TRN,Capital Improvement,R,2026,4000.0,,,,Transportation,,,Other Funds,0.004,True
KALAELOA BARBERS POINT HARBOR,KALAELOA BARBERS POINT HARBOR,TRN,TRN,Capital Improvement,R,2026,4000.0,,,,Transportation,,,Other Funds,0.004,True
KALAELOA BARBERS POINT HARBOR,KALAELOA BARBERS POINT HARBOR,TRN,TRN,Capital Improvement,A,2026,4000.0,,,,Transportation,,,General Fund,0.004,True
KALAELOA BARBERS POINT HARBOR,KALAELOA BARBERS POINT HARBOR,TRN,TRN,Capital Improvement,B,2026,4000.0,,,,Transportation,,,Special Funds,0.004,True
KAUAI HIGHWAYS,KAUAI HIGHWAYS,TRN,TRN,Capital Improvement,A,2026,4000000.0,,,,Transportation,,,General Fund,4.0,True
KAUAI HIGHWAYS,KAUAI HIGHWAYS,TRN,TRN,Capital Improvement,A,2026,1000000.0,,,,Transportation,,,General Fund,1.0,True
KAUMALAPAU HARBOR,KAUMALAPAU HARBOR,TRN,TRN,Capital Improvement,B,2026,4000.0,,,,Transportation,,,Special Funds,0.004,True
KAUMALAPAU HARBOR,KAUMALAPAU HARBOR,TRN,TRN,Capital Improvement,A,2026,4000.0,,,,Transportation,,,General Fund,0.004,True
KAUMALAPAU HARBOR,KAUMALAPAU HARBOR,TRN,TRN,Capital Improvement,R,2026,4000.0,,,,Transportation,,,Other Funds,0.004,True
KAUNAKAKAI HARBOR,KAUNAKAKAI HARBOR,TRN,TRN,Capital Improvement,R,2026,4000.0,,,,Transportation,,,Other Funds,0.004,True
KAUNAKAKAI HARBOR,KAUNAKAKAI HARBOR,TRN,TRN,Capital Improvement,B,2026,4000.0,,,,Transportation,,,Special Funds,0.004,True
KAUNAKAKAI HARBOR,KAUNAKAKAI HARBOR,TRN,TRN,Capital Improvement,A,2026,4000.0,,,,Transportation,,,General Fund,0.004,True
LAND SURVEY,LAND SURVEY,AGS,AGS,Operating,U,2026,285000.0,,,,Government Operations,,,Other Funds,0.285,False
LEGAL SERVICES,LEGAL SERVICES,ATG,ATG,Operating,W,2026,3539882.0,,,,Government Operations,,,Special Funds,3.539882,False
LEGAL SERVICES,LEGAL SERVICES,ATG,ATG,Operating,A,2026,11641670.0,,,,Government Operations,,,General Fund,11.64167,False
LEGAL SERVICES,LEGAL SERVICES,ATG,ATG,Operating,T,2026,4065177.0,,,,Government Operations,,,Special Funds,4.065177,False
LEGAL SERVICES,LEGAL SERVICES,ATG,ATG,Operating,B,2026,4890531.0,,,,Government Operations,,,Special Funds,4.890531,False
LEGAL SERVICES,LEGAL SERVICES,ATG,ATG,Operating,U,2026,21765719.0,,,,Government Operations,,,Other Funds,21.765719,False
LEGAL SERVICES,LEGAL SERVICES,ATG,ATG,Operating,B,2026,6484008.0,,,,Government Operations,,,Special Funds,6.484008,False
LIHUE AIRPORT,LIHUE AIRPORT,TRN,TRN,Capital Improvement,A,2026,1000.0,,,,Transportation,,,General Fund,0.001,True
LIHUE AIRPORT,LIHUE AIRPORT,TRN,TRN,Capital Improvement,A,2026,9225000.0,,,,Transportation,,,General Fund,9.225,True
LNR,NATURAL AND PHYSICAL ENVIRONMENT,LNR,LNR,Operating,A,2026,7011321.0,,,,Environment,,,General Fund,7.011321,False
LNR - NATURAL AND PHYSICAL ENVIRONMENT,LNR - NATURAL AND PHYSICAL ENVIRONMENT,LNR,LNR,Operating,B,2026,3475827.0,,,,Environment,,,Special Funds,3.475827,False
LNR - NATURAL AND PHYSICAL ENVIRONMENT,LNR - NATURAL AND PHYSICAL ENVIRONMENT,LNR,LNR,Operating,B,2026,116466.0,,,,Environment,,,Special Funds,0.116466,False
"MAUI HEALTH SYSTEM, A KFH LLC","MAUI HEALTH SYSTEM, A KFH LLC",HTH,HTH,Capital Improvement,B,2026,6000000.0,,,,Health,,,Special Funds,6.0,True
MAUI HIGHWAYS,MAUI HIGHWAYS,TRN,TRN,Capital Improvement,A,2026,4001000.0,,,,Transportation,,,General Fund,4.001,True
MAUI HIGHWAYS,MAUI HIGHWAYS,TRN,TRN,Capital Improvement,B,2026,1000000.0,,,,Transportation,,,Special Funds,1.0,True
MAUI HIGHWAYS,MAUI HIGHWAYS,TRN,TRN,Capital Improvement,A,2026,5000000.0,,,,Transportation,,,General Fund,5.0,True
MOLOKAI AIRPORT,MOLOKAI AIRPORT,TRN,TRN,Capital Improvement,A,2026,6230000.0,,,,Transportation,,,General Fund,6.23,True
NARCOTICS ENFORCEMENT DIVISION,NARCOTICS ENFORCEMENT DIVISION,LAW,LAW,Operating,W,2026,1004853.0,,,,Public Safety,,,Special Funds,1.004853,False
NARCOTICS ENFORCEMENT DIVISION,NARCOTICS ENFORCEMENT DIVISION,LAW,LAW,Operating,B,2026,800000.0,,,,Public Safety,,,Special Funds,0.8,False
NATIVE RESOURCES AND FIRE PROTECTION PROGRAM,NATIVE RESOURCES AND FIRE PROTECTION PROGRAM,LNR,LNR,Operating,A,2026,3679077.0,,,,Environment,,,General Fund,3.679077,False
NATIVE RESOURCES AND FIRE PROTECTION PROGRAM,NATIVE RESOURCES AND FIRE PROTECTION PROGRAM,LNR,LNR,Operating,T,2026,106475.0,,,,Environment,,,Special Funds,0.106475,False
NATIVE RESOURCES AND FIRE PROTECTION PROGRAM,NATIVE RESOURCES AND FIRE PROTECTION PROGRAM,LNR,LNR,Operating,B,2026,4571982.0,,,,Environment,,,Special Funds,4.571982,False
NATIVE RESOURCES AND FIRE PROTECTION PROGRAM,NATIVE RESOURCES AND FIRE PROTECTION PROGRAM,LNR,LNR,Capital Improvement,B,2026,10500000.0,,,,Environment,,,Special Funds,10.5,True
NATIVE RESOURCES AND FIRE PROTECTION PROGRAM,NATIVE RESOURCES AND FIRE PROTECTION PROGRAM,LNR,LNR,Operating,U,2026,1686056.0,,,,Environment,,,Other Funds,1.686056,False
NATURAL AREA RESERVES AND WATERSHED MANAGEMENT,NATURAL AREA RESERVES AND WATERSHED MANAGEMENT,LNR,LNR,Operating,A,2026,440000.0,,,,Environment,,,General Fund,0.44,False
NATURAL AREA RESERVES AND WATERSHED MANAGEMENT,NATURAL AREA RESERVES AND WATERSHED MANAGEMENT,LNR,LNR,Capital Improvement,B,2026,7200000.0,,,,Environment,,,Special Funds,7.2,True
NATURAL AREA RESERVES AND WATERSHED MANAGEMENT,NATURAL AREA RESERVES AND WATERSHED MANAGEMENT,LNR,LNR,Operating,B,2026,180000.0,,,,Environment,,,Special Funds,0.18,False
NATURAL AREA RESERVES AND WATERSHED MANAGEMENT,NATURAL AREA RESERVES AND WATERSHED MANAGEMENT,LNR,LNR,Operating,B,2026,3000000.0,,,,Environment,,,Special Funds,3.0,False
NAWILIWILI HARBOR,NAWILIWILI HARBOR,TRN,TRN,Capital Improvement,B,2026,9992000.0,,,,Transportation,,,Special Funds,9.992,True
NAWILIWILI HARBOR,NAWILIWILI HARBOR,TRN,TRN,Capital Improvement,R,2026,4000.0,,,,Transportation,,,Other Funds,0.004,True
NAWILIWILI HARBOR,NAWILIWILI HARBOR,TRN,TRN,Capital Improvement,A,2026,4000.0,,,,Transportation,,,General Fund,0.004,True
OAHU HIGHWAYS,OAHU HIGHWAYS,TRN,TRN,Capital Improvement,A,2026,22134000.0,,,,Transportation,,,General Fund,22.134,True
OAHU HIGHWAYS,OAHU HIGHWAYS,TRN,TRN,Capital Improvement,B,2026,5445000.0,,,,Transportation,,,Special Funds,5.445,True
OAHU HIGHWAYS,OAHU HIGHWAYS,TRN,TRN,Capital Improvement,A,2026,14898000.0,,,,Transportation,,,General Fund,14.898,True
OCEAN-BASED RECREATION,OCEAN-BASED RECREATION,LNR,LNR,Operating,B,2026,42965486.0,,,,Culture and Recreation,,,Special Funds,42.965486,False
OCEAN-BASED RECREATION,OCEAN-BASED RECREATION,LNR,LNR,Capital Improvement,B,2026,28650000.0,,,,Culture and Recreation,,,Special Funds,28.65,True
OCEAN-BASED RECREATION,OCEAN-BASED RECREATION,LNR,LNR,Operating,A,2026,1500000.0,,,,Culture and Recreation,,,General Fund,1.5,False
OFFICE LEASING,OFFICE LEASING,AGS,AGS,Operating,U,2026,5500000.0,,,,Government Operations,,,Other Funds,5.5,False
OFFICE OF COMMUNITY SERVICES,OFFICE OF COMMUNITY SERVICES,LBR,LBR,Operating,B,2026,5000.0,,,,Employment,,,Special Funds,0.005,False
OFFICE OF COMMUNITY SERVICES,OFFICE OF COMMUNITY SERVICES,LBR,LBR,Capital Improvement,B,2026,20000000.0,,,,Employment,,,Special Funds,20.0,True
OFFICE OF COMMUNITY SERVICES,OFFICE OF COMMUNITY SERVICES,LBR,LBR,Operating,A,2026,6517000.0,,,,Employment,,,General Fund,6.517,False
OFFICE OF CONSUMER PROTECTION,OFFICE OF CONSUMER PROTECTION,CCA,CCA,Operating,T,2026,100681.0,,,,Individual Rights,,,Special Funds,0.100681,False
OFFICE OF ELECTIONS,OFFICE OF ELECTIONS,AGS,AGS,Operating,A,2026,99694.0,,,,Government Operations,,,General Fund,0.099694,False
OFFICE OF HOMELAND SECURITY,OFFICE OF HOMELAND SECURITY,LAW,LAW,Operating,B,2026,9405469.0,,,,Public Safety,,,Special Funds,9.405469,False
OFFICE OF HOMELAND SECURITY,OFFICE OF HOMELAND SECURITY,LAW,LAW,Operating,A,2026,3724886.0,,,,Public Safety,,,General Fund,3.724886,False
OFFICE OF INTERNATIONAL AFFAIRS,OFFICE OF INTERNATIONAL AFFAIRS,BED,BED,Capital Improvement,B,2026,5000000.0,,,,Economic Development,,,Special Funds,5.0,True
OFFICE OF INTERNATIONAL AFFAIRS,OFFICE OF INTERNATIONAL AFFAIRS,BED,BED,Operating,A,2026,700000.0,,,,Economic Development,,,General Fund,0.7,False
OFFICE OF MEDICAL CANNABIS CONTROL & REGULATION,OFFICE OF MEDICAL CANNABIS CONTROL & REGULATION,HTH,HTH,Operating,B,2026,2578518.0,,,,Health,,,Special Funds,2.578518,False
OFFICE OF THE LIEUTENANT GOVERNOR,OFFICE OF THE LIEUTENANT GOVERNOR,LTG,LTG,Operating,B,2026,312000.0,,,,Government Operations,,,Special Funds,0.312,False
OFFICE ON HOMELESSNESS AND HOUSING SOLUTIONS,OFFICE ON HOMELESSNESS AND HOUSING SOLUTIONS,HMS,HMS,Capital Improvement,B,2026,24400000.0,,,,Human Services,,,Special Funds,24.4,True
PARKS ADMINISTRATION AND OPERATION,PARKS ADMINISTRATION AND OPERATION,LNR,LNR,Operating,B,2026,31094536.0,,,,Culture and Recreation,,,Special Funds,31.094536,False
PARKS ADMINISTRATION AND OPERATION,PARKS ADMINISTRATION AND OPERATION,LNR,LNR,Capital Improvement,A,2026,750000.0,,,,Culture and Recreation,,,General Fund,0.75,True
PARKS ADMINISTRATION AND OPERATION,PARKS ADMINISTRATION AND OPERATION,LNR,LNR,Capital Improvement,B,2026,8400000.0,,,,Culture and Recreation,,,Special Funds,8.4,True
PESTICIDES,PESTICIDES,AGR,AGR,Operating,W,2026,2598038.0,,,,Environment,,,Special Funds,2.598038,False
PESTICIDES,PESTICIDES,AGR,AGR,Operating,B,2026,464629.0,,,,Environment,,,Special Funds,0.464629,False
PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,HHL,HHL,Operating,W,2026,7000000.0,,,,Human Services,,,Special Funds,7.0,False
PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,HHL,HHL,Operating,B,2026,393600.0,,,,Human Services,,,Special Funds,0.3936,False
PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,HHL,HHL,Capital Improvement,B,2026,20000000.0,,,,Human Services,,,Special Funds,20.0,True
PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,HHL,HHL,Operating,T,2026,3740534.0,,,,Human Services,,,Special Funds,3.740534,False
PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,HHL,HHL,Operating,A,2026,24126731.0,,,,Human Services,,,General Fund,24.126731,False
PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,HHL,HHL,Operating,B,2026,101866373.0,,,,Human Services,,,Special Funds,101.866373,False
PLANT PEST AND DISEASE CONTROL,PLANT PEST AND DISEASE CONTROL,AGR,AGR,Operating,U,2026,212095.0,,,,Economic Development,,,Other Funds,0.212095,False
